Date,Description,Amount,Balance
"2025-10-02","POS PURCHASE",-4.23,-4.23
"2025-10-03","PREAUTHORIZED CREDIT",763.01,758.78
"2025-10-04","POS PURCHASE",-11.68,747.10
"2025-10-05","CHECK 1234",-9.98,737.12
"2025-10-05","POS PURCHASE",-25.50,711.62
"2025-10-07","POS PURCHASE",-31.57,680.05
"2025-10-08","POS PURCHASE",-59.08,620.97
"2025-10-12","CHECK 1236",-69.00,551.97
"2025-10-14","CHECK 1237",-180.63,371.34
"2025-10-14","POS PURCHASE",-18.96,352.38
"2025-10-16","PREAUTHORIZED CREDIT",763.01,1115.39
"2025-10-22","ATM WITHDRAWAL",-140.00,975.39
"2025-10-28","CHECK 1238",-91.06,884.33
"2025-10-30","CHECK 1239",-451.20,433.13
"2025-10-30","CHECK 1246",-37.07,396.06
"2025-10-30","POS PURCHASE",-18.67,377.39
"2025-10-31","CHECK 1247",-100.00,277.39
"2025-10-31","CHECK 1248",-78.24,199.15
"2025-10-31","PREAUTHORIZED CREDIT",350.00,549.15
"2025-11-02","CHECK 1249",-52.23,496.92
"2025-11-09","INTEREST CREDIT",0.26,497.18
"2025-11-09","SERVICE CHARGE",-12.00,485.18
