Date,Description,Amount,Balance
"2025-10-04","POS PURCHASE",-443565.00,-443565.00
"2025-10-05","CHECK 1234",-9.98,-443574.98
"2025-10-07","POS PURCHASE",-98765.00,-542339.98
"2025-10-12","CHECK 1236",-69.00,-542408.98
"2025-10-14","CHECK 1237",-180.63,-542589.61
"2025-10-14","POS PURCHASE",-98765.00,-641354.61
"2025-10-16","PREAUTHORIZED CREDIT",310.00,-641044.61
"2025-10-30","POS PURCHASE",-98765.00,-739809.61
"2025-10-31","PREAUTHORIZED CREDIT",9809.00,-730000.61
"2025-10-31","PREAUTHORIZED CREDIT $097094 09809 5:23 PM",97083740597380032.00,97083740596650032.00
