Date,Description,Amount,Balance
"2024-01-01","Fast Payment Amazon",132.30,132.30
"2024-01-01","BACS               eBAY Trading Co.",515.22,647.52
"2024-01-01","Fast Payment Morrisons Petrol",80.00,727.52
"2024-01-01","BACS               Business Loan",20000.00,20727.52
"2024-01-01","BACS               Jumes White Media",2416.85,23144.37
"2024-01-01","Fast Payment ATM High Street",100.00,23244.37
"2024-01-01","BACS               Accorn Advertising Studios",150.00,23394.37
"2024-01-01","Fast Payment Marriott Hotels",177.00,23571.37
"2024-01-01","Fast Payment Abelio Scotrail Ltd",122.22,23693.59
"2024-01-01","Fast Payment Cheque 000234",1200.00,24893.59
"2024-01-01","DD                 OVO Energy",270.00,25163.59
"2024-01-01","BACS               Toyota Online",10525.40,35688.99
"2024-01-01","BACS               HMRC 1,000.00",11633.64,47322.63
"2024-01-01","DD                 OVLA 280.00",11353.64,58676.27
"2024-01-01","EBP                Michael Kor Salary",1554.00,60230.27
"2024-01-01","DD                 BOS Mastercard",4000.00,64230.27
"2024-01-01","Petron - C5 Station",223.26,64453.53
"2024-01-01","South Star Drug",313.39,64766.92
"2024-01-01","Rosewood Condominum",582.96,65349.88
"2024-01-01","Grab",125.00,65474.88
"2024-01-01","Amazon",215.00,65689.88
"2024-01-01","Alba International",656.86,66346.74
"2024-01-01","Adobe Sales",246.00,66592.74
"2024-01-01","St. Luke Medical Center",571.10,67163.84
"2024-01-01","Hotel Sheraton (Las Vegas)",965.00,68128.84
