Date,Description,Amount,Balance
"2025-08-01","Page of 2",1.00,1.00
"2025-08-02","Page of 2",2.00,3.00
"2025-08-02","Activity for Relationship Checking - Account #45678 continued",123.00,126.00
"2025-08-30","- Service Charges and Fees interest-bearing Days 30",12.00,138.00
"2025-10-02","Beginning balance on October $69.96 Avg Collected Balance $643.24",10.00,148.00
"2025-10-02","+ Deposits and other credits Interest Paid YTD $3.13",1876.02,2024.02
"2025-10-02","/02 POS PURCHASE 4.23 65.73",10.00,2034.02
"2025-10-02","/02 POSPURCHASE TERMINAL 24349201 WAL-MART#3492 WICHITA KS 00-00-00 00:00 PM oc00000000000000 4.23",10.00,2044.02
"2025-10-03","/03 PREAUTHORIZED CREDIT 763.01 828.74",10.00,2054.02
"2025-10-03","/03 PREAUTHORIZED CREDIT _ PAYROLL0987654678990 763.01",10.00,2064.02
"2025-10-04","/04 POS PURCHASE 11.68 817.06",10.00,2074.02
"2025-10-04","/04 POS PURCHASE TERMINAL 443565 PLAYERS SPORTS BAR AND GRILL WICHITAKS 00-00-00 00:00 PM o00000000000000 11.68",10.00,2084.02
"2025-10-05","/05 CHECK 1234 9.98 807.08",10.00,2094.02
"2025-10-05","/05 POS PURCHASE 25.50 781.58",10.00,2104.02
"2025-10-05","/05 POSPURCHASE TERMINAL 422443 KWAN COURT WICHITA KS 00-00-00 00:00 PM oo00000000000000 25.50",10.00,2114.02
"2025-10-05","4 10/05 $9.98 1238 10/28 $91.06 1247 10/31 $100.00",123.00,2237.02
"2025-10-07","/07 POS PURCHASE TERMINAL 098765 THE HOME DEPOT 2204 WICHITA KS 00-00-00 00:00 AM o000000000000000 31.57",10.00,2247.02
"2025-10-08","/08 POSPURCHASE 59.08 722.50",10.00,2257.02
"2025-10-12","/12 CHECK 1236 69.00 653.50",10.00,2267.02
"2025-10-12","6* 10/12 $69.00 1239 10/30 $451.20 1248 10/31 $78.24",123.00,2390.02
"2025-10-14","/14 CHECK 1237 180.63 472.87",10.00,2400.02
"2025-10-14","/14 POS PURCHASE 18.96 453.91",10.00,2410.02
"2025-10-14","/14 POS PURCHASE TERMINAL 098765 0000 000 WICHITA KS 00-00-00 00:00 PM ocoO00NC00000000 18.96",10.00,2420.02
"2025-10-14","7 10/14 $180.63 1246* 10/30 $37.07 1249 11/02 $52.23",123.00,2543.02
"2025-10-14","Check Images for Relationship Checking - Account #45678",123.00,2666.02
"2025-10-16","/16 PREAUTHORIZED CREDIT 763.01 1216.92",10.00,2676.02
"2025-10-16","/16 PREAUTHORIZED CREDIT — USTREASURY 310 SOC SEC 020802 509499853A SSA 763.01",10.00,2686.02
"2025-10-22","/22 ATMWITHDRAWAL 140.00 1076.92",10.00,2696.02
"2025-10-22","/22 ATMWITHDRAWAL CASH WITHDRAWAL TERMINAL $78476 3216 EAST HARRY WICHITAKS 00-00-00 00:00AM o000000000000000 140.00",10.00,2706.02
"2025-10-28","/28 CHECK 1238 91.06 985.86",10.00,2716.02
"2025-10-30","/30 CHECK 1239 451.20 534.66",10.00,2726.02
"2025-10-30","/30 CHECK 1246 37.07 497.59",10.00,2736.02
"2025-10-30","/30 POS PURCHASE 18.67 478.92",10.00,2746.02
"2025-10-30","/30 POS PURCHASE TERMINAL 098765 DILLONS 0000 000 WICHITA KS 00-00-00 00:00 PM o000000000000000 18.67",10.00,2756.02
"2025-10-31","/31 CHECK 1247 100.00 378.92",10.00,2766.02
"2025-10-31","/31 CHECK 1248 78.24 300.68",10.00,2776.02
"2025-10-31","/31 PREAUTHORIZED CREDIT 350.00 650.68",10.00,2786.02
"2025-10-31","/31 PREAUTHORIZED CREDIT _ DEPOSIT TERMINAL $097094 09809 5.23 PM 097083740597380032 350.00",10.00,2796.02
"2025-11-02","Ending balance on November $586.71 Average Balance for APY $643.24",9.00,2805.02
"2025-11-02","Interest Earned",0.26,2805.28
"2025-11-02","/02 CHECK 1249 52.23 598.45",11.00,2816.28
"2025-11-09","/09 INTEREST CREDIT 26 598.71",11.00,2827.28
"2025-11-09","/09 SERVICE CHARGE 12.00 586.71",11.00,2838.28
"2025-11-09","/09 INTEREST CREDIT 0.26",11.00,2849.28
"2025-11-09","/09 SERVICE CHARGE 12.00",11.00,2860.28
