Date,Description,Amount,Balance
"2019-05-01","Deposit",50.00,50.00
"2019-05-01","ATM Withdrawal",-25.00,25.00
"2019-05-06","debit card payment 4747 STARBUCKS PLAZA BOTERO BT 1234567654532109875322",-10.49,14.51
"2019-05-11","Counter credit",50.00,64.51
"2019-05-11","ATM Withdrawal",-25.00,39.51
"2019-05-17","Checkcard 2201 TOYSRUS 333-267-6947 BA 123456789012345",-89.51,-50.00
"2019-05-19","SEVEN ELEVEN SALARY MAY",50.00,0.00
"2019-05-22","Checkcard 2202 MACDONALDS 678-344-6314 BO 1338635736666635790652",-32.81,-32.81
"2019-05-29","Deposit",50.00,17.19
"2019-05-30","Payment Debit Card 4747 UNIVERSITY OF BOGOTA BO 1234567654532109875322",-17.19,-0.00
