Date,Description,Amount,Balance
"2024-01-01","Bank of America�",0.00,0.00
"2024-01-01","P.O. box 12345",0.00,0.00
"2024-01-01","Customer service  information",0.00,0.00
"2024-01-01","Avenida 11, No12-S6",0.00,0.00
"2024-01-01","Bogota, 11212",0.00,0.00
"2024-01-01","•l)",0.00,0.00
"2024-01-01","TDD/TTY users only: 1.888.123.4567",0.00,0.00
"2024-01-01","ABELNEWTON",0.00,0.00
"2024-01-01","JIMENEZ STREET 7-43",0.00,0.00
"2024-01-01","BOGOTA, 111211",0.00,0.00
"2024-01-01","COLOMBIA",0.00,0.00
"2024-01-01",";a",0.00,0.00
"2024-01-01","P.O. Box 52111",0.00,0.00
"2024-01-01","Tampa,  FL 33475-1111",0.00,0.00
