Date,Description,Amount,Balance
"2022-02-01","DEPOSIT",203.00,203.00
"2022-02-01","DEPOSIT",50.00,253.00
"2022-02-01","KETTERING OH 000000000618092",5.48,258.48
"2022-02-01","3.50 04-06 78.11",2.01,260.49
"2022-02-01","-2.50 04-09 71.33",205.01,465.50
"2022-02-02","DAYTON OH 000000000642173",5.68,471.18
"2022-02-03","GIANT #476 DAYTON OH 000000000445332",10.00,481.18
"2022-02-04","",12.07,493.25
"2022-02-05","DAYTON OH 000000000310506",47.95,541.20
"2022-02-07","SALEM AVE DAYTON OH PNC BANK 000000000551617",93.50,634.70
"2022-02-08","ATM WITHDRAWAL FEE",2.50,637.20
"2022-02-08","62.92 04-18 21.03",77.83,715.03
"2022-02-09","877-989-3268 CA 000000000246323",15.95,730.98
"2022-02-10","DAYTON OH 000000000339488",48.68,779.66
"2022-02-10","144.85 04-21 -1.73",13.20,792.86
"2022-02-11","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,832.26
"2022-02-12","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,871.66
"2022-02-13","",12.58,884.24
"2022-02-13","DEPOSIT",120.00,1004.24
"2022-02-13","89.36 04-28 -12.78",199.42,1203.66
"2022-02-15","POS CR POS-SQC*Eric San FranciscoCAUS",19.70,1223.36
"2022-02-20","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,1262.76
"2022-02-22","",6.00,1268.76
"2022-02-23","LINDEN AVE DAYTON OH GIANT OIL # 576 000000000935645",22.75,1291.51
"2022-02-24","DAYTON OH 000000000345928",97.35,1388.86
"2022-02-27","83.36 04-30 -24.73",129.92,1518.78
"2022-02-27","ATM WITHDRAWAL FEE",2.50,1521.28
"2022-03-06","DAYTON OH 000000000143204",7.38,1528.66
"2022-03-09","DAYTON OH 000000000199996",7.44,1536.10
"2022-03-11","737541",9.16,1545.26
"2022-03-15","DAYTON OH 000000000450295",97.73,1642.99
"2022-03-19","DAYTON OH 000000000068966",6.00,1648.99
"2022-03-22","POS CR POS-SQC*Eric San FranciscoCAUS",5.42,1654.41
"2022-03-24","DEPOSIT",60.00,1714.41
"2022-03-25","DAYTON OH 000000000000660",81.93,1796.34
"2022-03-26","-2202626 CA 000000000439132",1.00,1797.34
"2022-03-27","DAYTON OH 000000000483720",1.99,1799.33
"2022-03-28","GIANT #476 DAYTON OH 000000000557532",7.00,1806.33
"2022-03-29","W THIRD DAYTON OH 000000000565905",43.00,1849.33
"2022-04-01","ATM WITHDRAWAL FEE",2.50,1851.83
"2022-04-03","DAYTON OH 000000000515419",6.00,1857.83
"2022-04-06","DAYTON OH 000000000397851",5.25,1863.08
"2022-04-09","DAYTON OH 000000000126755",6.78,1869.86
"2022-04-10","DAYTON OH 000000000356174",1.07,1870.93
"2022-04-10","8",2.15,1873.08
"2022-04-11","",5.75,1878.83
"2022-04-14","DAYTON OH 000000000667514",6.20,1885.03
"2022-04-15","GIANT #476 DAYTON OH 000000000593156",7.00,1892.03
"2022-04-16","DAYTON OH 000000000580544",11.10,1903.13
"2022-04-17","DAYTON OH 000000000597697",13.99,1917.12
"2022-04-18","ACH-INST XFER MICROSOFT PAYPAL",3.04,1920.16
"2022-04-20","DAYTON OH 000000000372151",3.76,1923.92
"2022-04-23","DAYTON OH 000000000005535",2.13,1926.05
"2022-04-25","",2.91,1928.96
"2022-04-28","DAYTON OH 000000000079781",6.01,1934.97
"2022-04-30","MAINTENANCE FEE SVC CH*",11.95,1946.92
