Date,Description,Amount,Balance
"2025-02-01","DEPOSIT",203.00,203.00
"2025-02-01","DEPOSIT",50.00,253.00
"2025-02-01","POS DB MCDONALD'S M5906 KETTERING OH 000000000618092",-5.48,247.52
"2025-02-02","POS DB MCDONALD'S F328 DAYTON OH 000000000642173",-5.68,241.84
"2025-02-03","POS DB BP#8470320GIANT #476 DAYTON OH 000000000445332",-10.00,231.84
"2025-02-04","POS DB K PANTRY MART DAYTON OH 000000000568960",-12.07,219.77
"2025-02-05","POS DB ENTERPRISE 1003354 DAYTON OH 000000000310506",-47.95,171.82
"2025-02-07","ATM WDL 5141 SALEM AVE DAYTON OH PNC BANK 000000000551617",-93.50,78.32
"2025-02-08","ATM WITHDRAWAL FEE",-2.50,75.82
"2025-02-09","POS DB WU *7142828789 877-989-3268 CA 000000000246323",-15.95,59.87
"2025-02-10","POS DB ENTERPRISE 1003354 DAYTON OH 000000000339488",-48.68,11.19
"2025-02-11","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,50.59
"2025-02-12","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,89.99
"2025-02-13","DEPOSIT",120.00,209.99
"2025-02-13","POS DB SHELL DAYTON OH 000000000037740",-12.58,197.41
"2025-02-15","POS CR POS-SQC*Eric San FranciscoCAUS",19.70,217.11
"2025-02-20","POS CR POS-SQC*Eric San FranciscoCAUS",39.40,256.51
"2025-02-22","POS DB FREE PIKE DRIVE THROUG DAYTON OH 000000000703628",-6.00,250.51
"2025-02-23","ATM WDL 3000 LINDEN AVE DAYTON OH GIANT OIL # 576 000000000935645",-22.75,227.76
"2025-02-24","POS DB ENTERPRISE 1003354 DAYTON OH 000000000345928",-97.35,130.41
"2025-02-27","ATM WITHDRAWAL FEE",-2.50,127.91
"2025-03-06","POS DB TACO BELL 023061 DAYTON OH 000000000143204",-7.38,120.53
"2025-03-09","POS DB TACO BELL #033767 DAYTON OH 000000000199996",-7.44,113.09
"2025-03-11","POS DB SHOE CARNIVAL #0 DAYTON OH 000000000737541",-9.16,103.93
"2025-03-15","POS DB ENTERPRISE 1003354 DAYTON OH 000000000450295",-97.73,6.20
"2025-03-19","POS DB RALLY'S 4065 DAYTON OH 000000000068966",-6.00,0.20
"2025-03-22","POS CR POS-SQC*Eric San FranciscoCAUS",5.42,5.62
"2025-03-24","DEPOSIT",60.00,65.62
"2025-03-25","POS CR ENTERPRISE 1003354 DAYTON OH 000000000000660",81.93,147.55
"2025-03-26","POS DB EXPERIAN *CREDITREP 800-2202626 CA 000000000439132",-1.00,146.55
"2025-03-27","POS DB NNT DAYTON MART 930689 DAYTON OH 000000000483720",-1.99,144.56
"2025-03-28","POS DB BP#8470320GIANT #476 DAYTON OH 000000000557532",-7.00,137.56
"2025-03-29","ATM WDL 1203 W THIRD DAYTON OH 000000000565905",-43.00,94.56
"2025-04-01","ATM WITHDRAWAL FEE",-2.50,92.06
"2025-04-03","POS DB CLARK # 8044 DAYTON OH 000000000515419",-6.00,86.06
"2025-04-06","POS DB MCDONALD'S F6183 DAYTON OH 000000000397851",-5.25,80.81
"2025-04-09","POS DB RALLY'S 4057 DAYTON OH 000000000126755",-6.78,74.03
"2025-04-10","POS DB MCDONALD'S F31598 DAYTON OH 000000000356174",-1.07,72.96
"2025-04-10","POS DB PRIME FUELS 7 DAYTON OH 000000000061978",-2.15,70.81
"2025-04-11","POS DB GERMANTOWN PLAZA DRIV DAYTON OH 000000000454116",-5.75,65.06
"2025-04-14","POS DB MCDONALD'S F328 DAYTON OH 000000000667514",-6.20,58.86
"2025-04-15","POS DB BP#8470320GIANT #476 DAYTON OH 000000000593156",-7.00,51.86
"2025-04-16","POS DB DOMINO'S 2368 DAYTON OH 000000000580544",-11.10,40.76
"2025-04-17","POS DB KFC H127023 DAYTON OH 000000000597697",-13.99,26.77
"2025-04-18","ACH-INST XFER MICROSOFT PAYPAL",-3.04,23.73
"2025-04-20","POS DB FAMILY DOLLAR #0789 DAYTON OH 000000000372151",-3.76,19.97
"2025-04-21","POS DB CLEARVOIP, INC NEW YORK NY 000000000264937",-19.00,0.97
"2025-04-23","POS DB PRIME FUELS 7 DAYTON OH 000000000005535",-2.13,-1.16
"2025-04-25","POS DB SHELL DAYTON OH 000000000076465",-2.91,-4.07
"2025-04-28","POS DB MARATHON PETRO43349 DAYTON OH 000000000079781",-6.01,-10.08
"2025-04-30","MAINTENANCE FEE         SVC CH*",-11.95,-22.03
